acc_x,acc_y,acc_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,dt
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.01
0.0214505,0.0962456,-0.0489068,3.59308e-07,1.61491e-06,2.0,0.000107612,0.00048339,-0.000245429,0.01
0.0424705,0.189908,-0.0967433,2.86008e-06,1.28328e-05,1.99999,0.000427575,0.0019163,-0.000974568,0.01
0.063063,0.281009,-0.143517,9.60433e-06,4.30202e-05,1.99998,0.000955597,0.00427301,-0.00217675,0.01
0.0832308,0.36957,-0.189235,2.26514e-05,0.000101287,1.99995,0.00168742,0.00752802,-0.00384139,0.01
0.102977,0.455614,-0.233906,4.40179e-05,0.000196491,1.9999,0.00261881,0.011656,-0.00595797,0.01
0.122304,0.539161,-0.277536,7.56787e-05,0.000337234,1.99983,0.00374556,0.016632,-0.00851604,0.01
0.141215,0.620233,-0.320133,0.000119566,0.000531874,1.99973,0.0050635,0.022431,-0.0115052,0.01
0.159713,0.698853,-0.361705,0.000177572,0.000788516,1.9996,0.00656849,0.0290285,-0.0149153,0.01
0.177801,0.775042,-0.402259,0.000251546,0.00111502,1.99943,0.0082564,0.0364,-0.018736,0.01
0.195481,0.848821,-0.441802,0.000343296,0.00151901,1.99922,0.0101231,0.0445213,-0.0229571,0.01
0.212758,0.920213,-0.480343,0.000454591,0.00200787,1.99897,0.0121647,0.0533684,-0.0275687,0.01
0.229632,0.989238,-0.517888,0.000587159,0.00258872,1.99867,0.014377,0.0629176,-0.0325606,0.01
0.246108,1.05592,-0.554445,0.000742686,0.00326848,1.99832,0.016756,0.0731454,-0.0379231,0.01
0.262188,1.12028,-0.590022,0.000922821,0.00405381,1.99791,0.0192978,0.0840283,-0.0436463,0.01
0.277875,1.18234,-0.624625,0.00112917,0.00495115,1.99744,0.0219984,0.0955433,-0.0497203,0.01
0.293172,1.24212,-0.658263,0.00136331,0.00596671,1.99691,0.024854,0.107667,-0.0561356,0.01
0.308082,1.29964,-0.690943,0.00162676,0.00710646,1.99632,0.0278606,0.120378,-0.0628824,0.01
0.322608,1.35493,-0.722672,0.00192101,0.00837615,1.99565,0.0310144,0.133653,-0.0699512,0.01
