trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,0,0,0,2,0,0,0,0,0,0
0,0.01,4.00767E-07,1.97421E-06,2,0.000120029,0.000591002,-0.000250948,0.0239255,0.117696,-0.0500068
0,0.02,3.19009E-06,1.56929E-05,1.99999,0.00047691,0.00234388,-0.000996495,0.047371,0.232379,-0.0989213
0,0.03,1.07125E-05,5.26246E-05,1.99998,0.00106586,0.00522861,-0.00222576,0.0703395,0.344072,-0.146751
0,0.04,2.5265E-05,0.000123939,1.99995,0.00188212,0.00921544,-0.00392792,0.0928344,0.452801,-0.193504
0,0.05,4.90969E-05,0.000240509,1.9999,0.00292098,0.0142748,-0.00609226,0.114859,0.558591,-0.239187
0,0.06,8.44109E-05,0.000412913,1.99982,0.00417774,0.0203775,-0.00870812,0.136416,0.661465,-0.283808
0,0.07,0.000133363,0.00065144,1.99972,0.00564775,0.0274945,-0.0117649,0.157509,0.761448,-0.327375
0,0.08,0.000198061,0.000966088,1.99959,0.00732639,0.0355969,-0.0152521,0.178142,0.858566,-0.369896
0,0.09,0.00028057,0.00136657,1.99942,0.00920906,0.0446564,-0.0191594,0.198316,0.952843,-0.411377
0,0.1,0.000382907,0.00186231,1.9992,0.0112912,0.0546444,-0.0234762,0.218037,1.0443,-0.451827
0,0.11,0.000507044,0.00246246,1.99894,0.0135683,0.0655331,-0.0281925,0.237306,1.13297,-0.491254
0,0.12,0.000654908,0.00317588,1.99864,0.0160358,0.0772946,-0.0332979,0.256128,1.21887,-0.529664
0,0.13,0.000828381,0.00401117,1.99828,0.0186894,0.0899014,-0.0387824,0.274505,1.30203,-0.567066
0,0.14,0.0010293,0.00497664,1.99786,0.0215245,0.103326,-0.0446359,0.29244,1.38247,-0.603467
0,0.15,0.00125946,0.00608033,1.99738,0.0245367,0.117542,-0.0508484,0.309937,1.46021,-0.638875
0,0.16,0.00152061,0.00733002,1.99684,0.0277218,0.132521,-0.0574101,0.327,1.53529,-0.673297
0,0.17,0.00181446,0.00873321,1.99623,0.0310753,0.148239,-0.0643111,0.34363,1.60772,-0.706742
0,0.18,0.00214266,0.0102972,1.99556,0.0345929,0.164667,-0.0715417,0.359832,1.67753,-0.739216
0,0.19,0.00250685,0.0120288,1.9948,0.0382705,0.181781,-0.0790922,0.375609,1.74475,-0.770727
0,0.2,0.00290859,0.013935,1.99397,0.0421037,0.199554,-0.0869531,0.390963,1.8094,-0.801284
0,0.21,0.00334943,0.016022,1.99306,0.0460884,0.21796,-0.0951148,0.405899,1.8715,-0.830893
0,0.22,0.00383085,0.0182962,1.99207,0.0502203,0.236975,-0.103568,0.420418,1.93108,-0.859562
0,0.23,0.00435431,0.0207635,1.99099,0.0544954,0.256573,-0.112303,0.434526,1.98816,-0.887299
0,0.24,0.00492122,0.0234295,1.98982,0.0589094,0.27673,-0.121311,0.448224,2.04277,-0.914112
0,0.25,0.00553295,0.0262999,1.98856,0.0634585,0.297421,-0.130582,0.461516,2.09493,-0.940008
0,0.26,0.00619083,0.0293796,1.98721,0.0681384,0.318621,-0.140108,0.474406,2.14467,-0.964994
0,0.27,0.00689614,0.0326739,1.98576,0.0729453,0.340306,-0.149879,0.486896,2.19202,-0.989079
0,0.28,0.00765014,0.0361873,1.98421,0.077875,0.362453,-0.159886,0.498989,2.23699,-1.01227
0,0.29,0.00845404,0.0399244,1.98256,0.0829237,0.385038,-0.170121,0.510689,2.2796,-1.03457
0,0.3,0.009309,0.0438895,1.98081,0.0880875,0.408038,-0.180575,0.522,2.3199,-1.056
0,0.31,0.0102162,0.0480865,1.97895,0.0933624,0.431428,-0.191238,0.532924,2.3579,-1.07655
0,0.32,0.0111766,0.0525192,1.97698,0.0987447,0.455188,-0.202103,0.543464,2.39362,-1.09625
0,0.33,0.0121914,0.0571914,1.97491,0.10423,0.479293,-0.213161,0.553625,2.42709,-1.11508
0,0.34,0.0132615,0.0621062,1.97272,0.109816,0.503722,-0.224402,0.563408,2.45833,-1.13307
0,0.35,0.014388,0.0672668,1.97042,0.115497,0.528452,-0.235819,0.572817,2.48737,-1.15021
0,0.36,0.0155718,0.0726762,1.968,0.121271,0.553462,-0.247404,0.581856,2.51424,-1.16653
0,0.37,0.0168138,0.0783369,1.96547,0.127133,0.57873,-0.259147,0.590528,2.53895,-1.18202
0,0.38,0.0181148,0.0842516,1.96282,0.13308,0.604234,-0.271041,0.598835,2.56154,-1.19669
0,0.39,0.0194756,0.0904223,1.96005,0.139109,0.629954,-0.283078,0.606782,2.58202,-1.21055
0,0.4,0.0208972,0.0968513,1.95716,0.145215,0.655868,-0.295249,0.61437,2.60042,-1.2236
0,0.41,0.0223802,0.10354,1.95414,0.151395,0.681955,-0.307547,0.621605,2.61678,-1.23587
0,0.42,0.0239253,0.110491,1.95101,0.157646,0.708196,-0.319964,0.628488,2.6311,-1.24734
