trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,dt
0,0,0,0,2,0,0,0,0,0,0,0.01
0,0.01,3.50095E-07,1.63333E-06,2,0.000104853,0.000488908,-0.00024267,0.0209005,0.0973456,-0.0483568,0.01
0,0.02,2.78674E-06,1.29795E-05,1.99999,0.000416611,0.00193823,-0.000963605,0.0413815,0.192086,-0.0956543,0.01
0,0.03,9.35807E-06,4.35128E-05,1.99998,0.000931095,0.00432202,-0.00215225,0.061446,0.284243,-0.1419,0.01
0,0.04,2.20706E-05,0.000102449,1.99995,0.00164415,0.00761455,-0.00379812,0.0810967,0.373839,-0.187101,0.01
0,0.05,4.28893E-05,0.000198748,1.9999,0.00255166,0.0117903,-0.00589082,0.100336,0.460895,-0.231265,0.01
0,0.06,7.37382E-05,0.000341115,1.99983,0.00364952,0.0168241,-0.00842,0.119168,0.545433,-0.2744,0.01
0,0.07,0.000116501,0.000538005,1.99973,0.00493367,0.0226907,-0.0113754,0.137594,0.627475,-0.316512,0.01
0,0.08,0.000173019,0.000797622,1.9996,0.00640006,0.0293653,-0.0147469,0.155618,0.707043,-0.35761,0.01
0,0.09,0.000245096,0.00112792,1.99943,0.0080447,0.0368234,-0.0185242,0.173242,0.78416,-0.3977,0.01
0,0.1,0.000334494,0.00153662,1.99923,0.00986358,0.0450404,-0.0226975,0.190469,0.858846,-0.43679,0.01
0,0.11,0.000442935,0.00203118,1.99898,0.0118528,0.0539922,-0.0272567,0.207302,0.931123,-0.474888,0.01
0,0.12,0.000572104,0.00261883,1.99868,0.0140083,0.0636549,-0.032192,0.223744,1.00101,-0.512,0.01
0,0.13,0.000723643,0.00330657,1.99833,0.0163263,0.0740046,-0.0374935,0.239797,1.06854,-0.548135,0.01
0,0.14,0.000899159,0.00410114,1.99793,0.018803,0.0850179,-0.0431515,0.255465,1.13372,-0.583299,0.01
0,0.15,0.00110022,0.00500906,1.99747,0.0214344,0.0966714,-0.0491562,0.27075,1.19659,-0.6175,0.01
